album,data,musica,letra
DIFFERENT,2025-06-24 00:00:00,DIFFERENT,TRADUÇÃO INDISPONÍVEL
HOT (English ver.),2025-04-14 00:00:00,HOT,"5 Contributors
Translations
한국어 (Korean)
Romanization
Español
Italiano
Português
Русский (Russian)
LE SSERAFIM - HOT (English Translation) Lyrics
LE SSERAFIM explores the theme of love for the first time since their debut in “HOT,” the title track off of their fifth mini-album of the same name.

The pop song incorporates rock and disco elements that…
Read More
[Intro]
I'm burning hot
[Verse 1: Kazuha &
Kim Chaewon
]
A dangerous drive, switchin' up the gear
Blazing sunset glow, you and my tears so
Don’t be afraid, no doubts at all
Take my hand, 'cause tonight we burn to shine, yeah
[Pre-Chorus: Huh Yunjin &
Hong Eunchae
]
Now hold me tight my dear in the scars we share
Inside our hearts
The engine's stained in red if you remember me
The way I'm in your eyes forever
[Chorus: Kim Chaewon &
Huh Yunjin
]
I'm burning hot if I can live life my own way
Turning to ashes ain't no problem
So tonight in your embrace
Bonnie and Clyde it
, oh
[Post-Chorus: Sakura &
Kazuha
]
Not running from it, not running from it
Flames rising high, I love it
Let me live
(
Hot
)
I'm burning hot
(
I'm burning hot
)



[Verse 2: Kim Chaewon,
Hong Eunchae
&
Huh Yunjin
]
Just like a phoenix soaring across eternal skies
You're just like a miracle making me dream again tonight
Once again, my embers glow hot, sprouting wings
Now hold me tight
[Pre-Chorus: Kazuha, Sakura]
Throwing my body into flames, no hesitation, no regrets
It's all right, we're ride or die, yeah
The engine's stained in red
if you remember me
The way I'm in your eyes forever
[Chorus: Huh Yunjin &
Kim Chaewon
]
I'm burning hot if I can live life my own way
Turning to ashes ain't no problem
So tonight in your embrace
(Hot)
Bonnie and Clyde it, oh
(I'm burning hot)
[Post-Chorus: Hong Eunchae,
Kazuha
&
Huh Yunjin
]
Not running from it, not running from it
Flames rising high, I love it
Let me live
(
Hot
)
I'm burning hot
(
I'm burning hot
)
[Outro: Kim Chaewon]
Oh, oh-oh"
HOT (English ver.),2025-04-14 00:00:00,HOT (English ver.),"8 Contributors
Translations
Italiano
HOT (English ver.) Lyrics
[Intro]
I'm burning hot
[Verse 1: Kazuha,
Kim Chaewon
]
Shades on my eyes, cover my tears
You see the smile, I feel the fear so
Paint my lips red, throw on some heels
Hold up my head and tonight, I'll remind myself that
[Pre-Chorus: Huh Yunjin,
Hong Eunchae
]
I'm the one, two, and three, kissin' the mirror, I'm she
Struck like lightning, so ignited
You can hate me for me, baby, that's your loss
Don't love me for somebody I'm not
[Chorus: Kim Chaewon,
Huh Yunjin
]
I'm burning hot (
Hot
), there's a fire living inside me
And it won't burn out after dark (
Dark
)
So tonight, I'm not gonna fight it
Bonnie and Clyde it, oh
[Post-Chorus: Sakura,
Kazuha
]
Not running from it, not running from it
Who I'm becoming, I love it
Like it or not
(
Hot; ooh
)
I'm burning hot
(
I'm burning hot
)



[Verse 2: JADE]
(Haha)
Matches, lightin' up all of my baggage
Oh, you were so savage (Oh)
But now I'm glowing by mysеlf
Bet it hurts like hell (I know that I'm)
[Pre-Chorus: JADE]
Now I'm strong, you did mе wrong, kept stringing me along
I should've seen the signs, wasted all my time, yeah (Yeah)
Now I'm on top, and you're not, baby, that's your loss (Loss)
Don't love me for somebody I'm not
[Chorus: JADE]
I'm burning hot (Hot), there's a fire living inside me
And it won't burn out after dark (Dark)
So tonight, I'm not gonna fight it (Not gonna fight it)
Bonnie and Clyde it, oh (Bonnie and Clyde it, oh)
[Post-Chorus: JADE]
Not running from it, not running from it (Oh-oh-oh)
Who I'm becoming, I love it (I love it)
Like it or not (Hot; like it or not, hot)
I'm burning hot
[Outro: JADE]
Ooh
Ooh-ooh, yeah, oh, yeah
Woah-oh, yeah"
Come Over (Remixes),2025-03-31 00:00:00,Come Over,"23 Contributors
Translations
한국어 (Korean)
Português
Italiano
Español
Українська
Русский (Russian)
Deutsch
Come Over Lyrics
[Verse: Huh Yunjin,
Kazuha
]
No lying when it feels right
Stop trying, baby, listen
No hiding what it feels like
Don't play me like a rhythm
[Pre-Chorus: Kim Chaewon,
Hong Eunchae
]
And I'm crying out for anything
And the thought of something else
Oh, I know you want to take my hand
So come over, come over and dance
[Chorus: Huh Yunjin,
Sakura
]
So come over, come over, come over that
Come over, come over and dance
So come over, come over, come over that
Come over, come over and dance
[Verse: Kazuha,
Sakura
]
No lying when it feels right
Stop trying, baby, listen
No hiding what it feels like
Don't play me like a rhythm
[Pre-Chorus: Huh Yunjin,
Kim Chaewon
]
And I'm crying out for anything
And thе thought of something else
Oh, I know you want to takе my hand
So come over, come over and dance



[Chorus: Kazuha,
Kim Chaewon
]
So come over, come over, come over that
Come over, come over and dance
So come over, come over, come over that
Come over, come over and dance
[Pre-Chorus: Hong Eunchae,
Kazuha
]
And I'm crying out for anything
And the thought of something else
Oh, I know you want to take my hand
So come over, come over and dance
[Chorus: All]
So come over, come over, come over that
Come over, come over and dance
So come over, come over, come over that
Come over, come over and dance
[Outro]
Ooh, ooh-ooh-ooh
Ooh, ooh-ooh-ooh"
Come Over (Remixes),2025-03-31 00:00:00,Come Over (Hyperpop Remix),"5 Contributors
Translations
Italiano
Come Over (Hyperpop Remix) Lyrics
[Intro]
(Come over, come over, come over)
(Come over, come over, come over and dance)
[Verse]
No lying when it feels right
Stop trying, baby, listen
No hiding what it feels like
Don't play me like a rhythm
[Pre-Chorus]
And I'm crying out for anything
And the thought of something else
Oh, I know you want to take my hand
So come over, come over and dance
[Chorus]
Come over, come over, come over
Come over, come over, come over and dance
So come ovеr, come over, come ovеr
Come over, come over, come over and dance
(Come over, come over, come over)
(Come over, come over, come over and dance)
(So come over, come over, come over)
(Come over, come over, come over and dance)



[Verse]
No lying when it feels right
Stop trying, baby, listen
No hiding what it feels like
Don't play me like a rhythm
[Pre-Chorus]
And I'm crying out for anything
And the thought of something else
Oh, I know you want to take my hand
So come over, come over and dance
[Chorus]
Come over, come over, come over
Come over, come over, come over and dance
So come over, come over, come over
Come over, come over, come over and dance
(Come over, come over, come over)
(Come over, come over, come over and dance)
(So come over, come over, come over)
(Come over, come over, come over and dance)
[Outro]
Come over, come over, come over
Come over, come over, come over and dance
So come over, come over, come over
Come over, come over, come over and dance"
Come Over (Remixes),2025-03-31 00:00:00,Come Over (Bossa Nova Remix),"5 Contributors
Translations
Italiano
Come Over (Bossa Nova Remix) Lyrics
[Intro]
Ooh, ooh-ooh-ooh
Ooh, ooh-ooh-ooh
Ooh, ooh-ooh-ooh
[Verse]
No lying when it feels right
Stop trying, baby, listen
No hiding what it feels like
Don't play me like a rhythm
[Pre-Chorus]
And I'm crying out for anything
And the thought of something else
Oh, I know you want to take my hand
So come over, come over and dance
[Chorus]
So come over, come over, come over that
Come over, come over and dance
So come over, come over, come over that
Come over, come over and dance
[Verse]
No lying when it feels right
Stop trying, baby, listen
No hiding what it feels like
Don't play me like a rhythm



[Pre-Chorus]
And I'm crying out for anything
And the thought of something else
Oh, I know you want to take my hand
So come over, come over and dance
[Chorus]
So come over, come over, come over that
Come over, come over and dance
So come over, come over, come over that
Come over, come over and dance
[Pre-Chorus]
And I'm crying out for anything
And the thought of something else
Oh, I know you want to take my hand
So come over, come over and dance
[Chorus]
So come over, come over, come over that
Come over, come over and dance
So come over, come over, come over that
Come over, come over and dance
[Outro]
Ooh, ooh-ooh-ooh
Ooh, ooh-ooh-ooh"
Come Over (Remixes),2025-03-31 00:00:00,Come Over (Funk Remix),"5 Contributors
Translations
Italiano
Come Over (Funk Remix) Lyrics
[Intro]
Ooh, ooh-ooh-ooh (Ooh)
[Verse]
No lying when it feels right
Stop trying, baby, listen
No hiding what it feels like
Don't play me like a rhythm (Ooh)
[Pre-Chorus]
And I'm crying out for anything (Ah)
And the thought of something else
Oh, I know you want to take my hand (Ah)
So come over, come over and dance
[Chorus]
So come over, come over, come over that
Come over, come over and dance (Ooh)
So come over, come over, come over that
Come over, come over and dance
Ooh, ooh-ooh-ooh (Ooh)
[Verse]
No lying when it feels right
Stop trying, baby, listen (Ooh)
No hiding what it feels like
Don't play me like a rhythm (Ooh)



[Pre-Chorus]
And I'm crying out for anything (Ah)
And the thought of something else
Oh, I know you want to take my hand (Ah)
So come over, come over and dance
[Chorus]
So come over, come over, come over that
Come over, come over and dance (Ooh)
So come over, come over, come over that
Come over, come over and dance
Ooh, ooh-ooh-ooh (Ooh)
[Outro]
Ooh, ooh-ooh-ooh (Ooh)"
Come Over (Remixes),2025-03-31 00:00:00,Come Over (Sped Up ver.),"4 Contributors
Come Over (Sped Up ver.) Lyrics
[Verse]
No lying when it feels right
Stop trying, baby, listen
No hiding what it feels like
Don't play me like a rhythm
[Pre-Chorus]
And I'm crying out for anything
And the thought of something else
Oh, I know you want to take my hand
So come over, come over and dance
[Chorus]
So come over, come over, come over that
Come over, come over and dance
So come over, come over, come over that
Come over, come over and dance
[Verse]
No lying when it feels right
Stop trying, baby, listen
No hiding what it feels like
Don't play me like a rhythm
[Pre-Chorus]
And I'm crying out for anything
And the thought of something else
Oh, I know you want to take my hand
So come over, come over and dance



[Chorus]
So come over, come over, come over that
Come over, come over and dance
So come over, come over, come over that
Come over, come over and dance
[Pre-Chorus]
And I'm crying out for anything
And the thought of something else
Oh, I know you want to take my hand
So come over, come over and dance
[Chorus]
So come over, come over, come over that
Come over, come over and dance
So come over, come over, come over that
Come over, come over and dance
[Outro]
Ooh, ooh-ooh-ooh
Ooh, ooh-ooh-ooh"
Come Over (Remixes),2025-03-31 00:00:00,Come Over (Slowed + Reverb ver.),"4 Contributors
Come Over (Slowed + Reverb ver.) Lyrics
[Verse]
No lying when it feels right
Stop trying, baby, listen
No hiding what it feels like
Don't play me like a rhythm
[Pre-Chorus]
And I'm crying out for anything
And the thought of something else
Oh, I know you want to take my hand
So come over, come over and dance
[Chorus]
So come over, come over, come over that
Come over, come over and dance
So come over, come over, come over that
Come over, come over and dance
[Verse]
No lying when it feels right
Stop trying, baby, listen
No hiding what it feels like
Don't play me like a rhythm
[Pre-Chorus]
And I'm crying out for anything
And thе thought of something else
Oh, I know you want to takе my hand
So come over, come over and dance



[Chorus]
So come over, come over, come over that
Come over, come over and dance
So come over, come over, come over that
Come over, come over and dance
[Pre-Chorus]
And I'm crying out for anything
And the thought of something else
Oh, I know you want to take my hand
So come over, come over and dance
[Chorus]
So come over, come over, come over that
Come over, come over and dance
So come over, come over, come over that
Come over, come over and dance
[Outro]
Ooh, ooh-ooh-ooh
Ooh, ooh-ooh-ooh"
Come Over (Remixes),2025-03-31 00:00:00,Come Over (Instrumental),TRADUÇÃO INDISPONÍVEL
