album,data,musica,letra
Cosmic (Cosmie Ver.),2024-08-01 00:00:00,Cosmic,"10 Contributors
Translations
한국어 (Korean)
Romanization
Español
Polski
Português
Red Velvet - Cosmic (English Translation) Lyrics
[Verse 1: Seulgi,
Irene
,
Joy
]
A far-flung star, that funny story (It's electric)
That landing so turbulent
Meeting you as the stars would have it
First star was too cold
So went galaxy-hopping
Into this uninvited crash-landing
A stranger to me, you are, should I ignore you?
I can't get you off my mind
So just to pass time, should I troll you?
[Pre-Chorus: Wendy,
Yeri
,
Irene
]
Hey, what did you do to my mind?
I wanna know you (I wanna know you)
Maybe all night I could throw questions (When the stars align)
You said if the sky's clear tonight
Tomorrow you'll be taking off, but
I got a plan, just you and I
[Chorus: All,
Wendy
]
How about you stay a little longer?
My star tells me she's a bit lonely
Sing this hidden song to you, if you let me
Love is cosmic
I'm riding on your rhythm
Through the solar system, come with me (
Ayy, yeah
)
You and I, crossing the night
Cosmic love, woah-oh



[Post-Chorus: All,
Joy
]
Riding your rhythm
Through the solar system
Wanna know you more
Cosmic love, woah-oh
[Verse 2: Wendy,
Yeri
,
Seulgi
]
Never had this feeling before
Thought about it hard, but, still remains a question mark (
Even this strange ruckus
)
Even to you I'm a stranger
You'd stare like you're seeing an alien
You know that could be hurtful
[Pre-Chorus: Seulgi,
Joy
,
Irene
]
On my star, time flows slowly
You don't have to rush, yeah (When the stars align)
Perhaps we're travelers searching
For orphaned dreams
Shooting stars lost and wandering
[Chorus: All,
Seulgi
]
How about you stay a little longer?
My star tells me she's a bit lonely
Sing this hidden song to you, if you let me
Love is cosmic
I'm riding on your rhythm
Through the solar system, come with me (
Ayy, yeah
)
You and I, crossing the night
Cosmic love, woah-oh



[Bridge: Yeri,
Wendy
,
Joy
]
A striding step towards me
Stretch out your star-tanned hand, oh
""Come with me,"" you say
""Discover things no human eyes have seen,"" you say
I just can't say goodnight
Oh-woah
I can never say goodnight
'Cause your love is cosmic
[Chorus: All,
Joy
]
I'm riding on your rhythm
Through the solar system, come with me (
Ayy, yeah
)
You and I, crossing the night
Cosmic love, woah-oh (
Woah-oh
)
[Post-Chorus: All,
Joy
,
Wendy
]
Leaving tonight
Find the stars hidden from sight (
Oh
)
Let us name them alright
Cosmic love, woah-oh
Riding your rhythm (
Ride this night
)
Through the solar system (
Oh
)
Wanna know you more
Cosmic love, oh, yeah"
Cosmic (Cosmie Ver.),2024-08-01 ,Sunflower,"6 Contributors
Translations
한국어 (Korean)
Polski
Romanization
Red Velvet - Sunflower (English Translation) Lyrics
[Intro: Wendy]
Hypnotized
You got me hypnotized, ah
[Verse 1: Joy,
Irene
,
Seulgi
&
Yeri
]
Under the sky
Behind the white clouds in my heart
I saw you hiding
Beyond the height that exceeds my stature
An unreachable distance
Oh, my God, oh, my God
You dazzle my eyes, what are you? Oh, my God
Feels like my feet are glued to the ground
Honey, I give you my all
[Pre-Chorus: Wendy,
Yeri
,
Irene
&
Seulgi
]
Look through the gaps between fingers
Love is so blind, especially at night
Even if I can't see, even if it's sad
I'll find you in my dreams
, driving forward
Woah-oh-woah-oh, wait for me
I might melt away in your universe
You got me hypnotizеd
[Chorus: All,
Wendy
,
Seulgi
&
Joy
]
Ooh, wow, feeling so funny
Feeling so fun, fun, feeling so funny
Ooh, I'm loving passionately
Intensely, lovе, love
Loving passionately
You got me hypnotized (
You got me
)
Spinnin' around and round (
So hypnotized
)
Can't move a muscle
Honey, I'm hypnotized when I see you



[Verse 2: Yeri &
Joy
]
Yeah, I knew, yeah, I knew, I expected it
Our worlds are different
Even the pitch-black shadows
Inevitably spread
Pink smoke
[Pre-Chorus: Seulgi,
Irene
,
Wendy
&
Joy
]
At the edge of the sky
The golden sunset that has come (Come, ah)
Disappear, you're an illusion
In my dream, overturning our centuries
(Hey, oh)
Woah-oh-woah-oh, you and me
Flying together all day and night
You got me hypnotized
[Chorus: All,
Seulgi
,
Irene
&
Yeri
]
Ooh, wow, feeling so funny
Feeling so fun, fun, feeling so funny
Ooh, I'm loving passionately
Intensely, love, love
Loving passionately
You got me hypnotized (
You got me
)
Spinnin' around and round (
So hypnotized
)
Can't move a muscle
Hypnotized, honey, when I see you



[Bridge: Joy,
Wendy
,
Irene
,
All
&  *Seulgi*]
So don't wake me up
Cross over to the rainbow called dream (
One step, two steps
)
Following your light
Ride through space & time
(*Over space and time*)
Feels like the meaning of love, you
Exist in every moment, around
Summer, autumn, winter, spring
The whole world is you
[Break: Seulgi &
Yeri
]
Ooh, wow, feeling so funny
Feeling so fun, fun, feeling so funny
Ooh, I'm dreaming all day long
You got me hypnotized
[Chorus: All,
Seulgi
,
Irene
&
Wendy
]
Ooh, wow, feeling so funny
Feeling so fun, fun, feeling so funny
Ooh, I'm loving passionately
Intensely, love, love
Loving passionately (Oh-oh)
You got me hypnotized (
Fly with me
)
You are my world (
You are my dream
)
Come and take me (
Come and, take me
)
I'm hypnotized by you, honey



[Outro: Joy]
Yeah, yeah, yeah
Hypnotized, honey
Hypnotized, honey, yeah"
Cosmic (Cosmie Ver.),2024-08-01 00:00:00,Last Drop,"6 Contributors
Translations
한국어 (Korean)
Romanization
Polski
Red Velvet - Last Drop (English Translation) Lyrics
[Intro]
Ah
Ah, ah
Ah, ah
[Verse 1: Wendy &
Joy
]
Like a dazzling night festival
Still vividly remaining, float away
Memories like dazzling fantasies
Ah, tearfully
All the beautiful
Times are leaving me, stealing you away
Shining faintly
Oh, baby
[Pre-Chorus: Yeri]
Every day passing us by
Night and day getting further away
This isn't the end, remember
It was passionately green
[Chorus: All,
Irene
&
Seulgi
]
Let's begin, the last drop for you
You and I, yeah, we never gonna stop
Pour it out generously, the last drop
Giving my all
Burning myself pure white, the last drop
Make it blast 'til the very last time
Shining brightly on you, thе last drop
Giving it all I've got



[Verse 2: Joy &
Seulgi
]
Forever on an unchanging orbit
I will gladly stay by your sidе
Even if everything eventually breaks apart, oh
You make my world go around
Turn it right up when it's down
No matter what form, it's alright
Because in the end, I realize
[Pre-Chorus: Irene]
I'm not afraid in every way
Because it's you who kept me through the long nights
Shining again like a miracle
Embracing deeply
[Chorus: All,
Wendy
&
Yeri
]
Let's start, the last drop for you
You and I, yeah, we never gon' stop
Pour it out generously, last drop
With all my heart
Burn myself pure white, last drop
Make it blast 'til the very last time
Shining brightly on you, last drop
With all my strength
[Interlude: Wendy,
Yeri
,
Irene
,
Seulgi
& *Joy*]
No one knows where a fading star goes
But we can feel each other
And I'll fly light-years to find you (
I'll fly,
I'll fly
)
To you, who made me shine bright
(Shine bright)
In the boundless night
To you, my universe
(*Last drop*)
And the only reason I exist



[Bridge: Wendy]
I'll shine on you with all my heart until the end
[Chorus: Seulgi,
All
,
Joy
&
Seulgi
]
On any night, dazzling brightly
I'll always be here for you
Smiling, meeting again (Ooh)
Like our first time
Remember our last drop
You and I, yeah, we never gon' stop
Moments we'll forever engrave
With all my heart
It'll be another beginning, our last drop
(
To the very last drop
)
Make it blast 'til the very last time
(
To the very last drop
)
Standing at the end of the world's night
With all my strength
[Outro]
Ah
Ah, ah
Ah, ah
Ah
Ah, ah
Ah, ah"
Cosmic (Cosmie Ver.),2024-08-01 00:00:00,Love Arcade,"5 Contributors
Translations
한국어 (Korean)
Romanization
Polski
Red Velvet - Love Arcade (English Translation) Lyrics
[Verse 1: Irene,
Seulgi
,
Yeri
,
Joy
]
The arcade, a ring unfolds before your eyes
Before you know it, a strange tension flows through you
Is it real? Is it fake? It's a good play even if you’re confused
Is it love? The count starts right at that moment
Non-stop round, run like crazy
(Oh)
Get a score, more and more, a mission without hints
Continuing to attack, we fall into a dizzying trap
(Oh, no)
I keep getting lost again and reset
(One, two, three)
[Pre-Chorus: Wendy,
Seulgi
,
Yeri
,
Irene
]
I remember the moment I first saw you
In my head, it's game over
You feel the same way, right?
Anyway, it's a meaningless winner
Shall we start together as we were drawn?
Let's go to the top
[Chorus: All,
Wendy
,
Yeri
]
We can't play no game the right way
Time to change everything
(
Do, do you wanna?
)
We can't play no game the right way
Until the end, go high, go high, ah, yeah
[Verse 2: Yeri,
Joy
,
Irene
]
Now, from now on, the key to the game is ours (
Ours
)
Time is infinitely round (Round, round, round)
Choose this next stage
(
Yeah
)
, anywhere is possible
(
Yeah
)
It doesn’t matter what, 'cause, baby, you're my prize



[Pre-Chorus: Wendy,
Irene
,
Seulgi
,
Joy
]
Yeah we won't stop now, customize as much as you like
The obvious course, new record, now everything breaks down
Ready? Everything is ready
(Is ready)
There are no rules
(Make a new stage)
Should we end this boring quest?
Let's go to the top
[Chorus: All,
Wendy
,
Irene
]
We can't play no game the right way
Time to change everything
(
Do, do you wanna?
)
We can't play no game the right way
Until the end, go high, go high
(Ah, ah, ah)
[Post-Chorus: Seulgi,
Yeri
,
Wendy
]
Oh, ba-ba-ba-ba
Finally, the game starts
Break everything down
A free new world
A game without limits just for the two of us
(Yeah, yeah, yeah)
[Chorus: All,
Seulgi
,
Yeri
,
Wendy
]
We can't play no game the right way
The important thing is you and I
(Baby, the important thing is you and I)
We can't play no game the right way
As we want, go high, go high
(
Freely, go high
)



[Outro: Wendy,
Joy
]
Together, yeah
Oh, let's play"
Cosmic (Cosmie Ver.),2024-08-01 00:00:00,Bubble,"5 Contributors
Translations
한국어 (Korean)
Romanization
Red Velvet - Bubble (English Translation) Lyrics
[Intro]
Ooh
Ooh, ooh (Ooh)
[Verse 1: Joy,
Yeri
,
Seulgi
,
Wendy
, (Irene)]
It's bright over there
Surprised by a piece of faint light
I fell
A wriggling star
If you grab it, it will overflow
Going up to the sky
If it touches your heart
Echoing throughout the universe
(Each other's sounds)
Even as time goes by
In the same place in each other's hearts
[Chorus: All,
Joy
,
Irene
]
In your sparkling eyes
Touch the starlight contained within
In a world filled with pounding sounds
Things I couldn't say before, uh, yeah
Red cheeks illuminated by the sunset
I want to talk in your ear
[Verse 2: Seulgi,
Wendy
,
Irene
,
Joy
]
The sunlight shining down
It used to pick on us
Laughing loudly
All with mischievous colors
Talk to me and knock on the door
I want to bе with you wherever you go
Following your light
Bеcause all dreams become clearer



[Chorus: All,
Wendy
,
Yeri
]
In your sparkling eyes
Touch the starlight contained within
In a world filled with pounding sounds
Things I couldn't say before, uh, yeah
Red cheeks illuminated by the sunset
I want to talk in your ear
[Bridge: Irene,
Joy
,
Wendy
,
Seulgi
]
I saw the same moon
I want to dream every day
The brilliant light hidden in the shadows
That place we are looking at together
Because it's so shiny
(Ooh)
[Chorus: All,
Seulgi
,
Wendy
]
In your sparkling eyes
Touch the starlight contained within
In a world filled with pounding sounds
Things I couldn't say before, uh, yeah
Red cheeks illuminated by the sunset
I want to talk in your ear
[Outro: All]
Ooh
Ooh
Things I couldn't say before, uh, yeah (Ooh, yeah)
Remember us, endlessly unfolding
Above the two hands held tightly together (Ooh)"
Cosmic (Cosmie Ver.),2024-08-01 00:00:00,Night Drive,"7 Contributors
Translations
한국어 (Korean)
Romanization
Red Velvet - Night Drive (English Translation) Lyrics
[Intro]
Oh-woah
[Verse 1: Seulgi,
Irene
,
Wendy
,
Yeri
]
Do you see?
Like a shooting star
The signal flare calling us
Shining over the city
That seems to be asleep
A sparkling, dazzling landscape
Even if it steals my heart, it's fine, alright
(Yeah, oh)
The sound of the white moonlight
Will take us back again
(Oh)
A night that feels like
Something amazing will happen
(Oh, yeah)
We're not that young anymore
Try as I feel, it's time
[Pre-Chorus: Joy]
To places not on the map, fly
Like fate, let's roll the dice
[Chorus: All]
Shall we go? Night drive
With you, the night is exceptionally warm
Can't stop
A night wandering as if swimming in starlight
Lightning, thunder
It doesn't matter
We can stay up
Every moment is dreamlike when we're together



[Verse 2: Wendy,
Yeri
]
I still remember
The summer days when I first saw you (Yeah, yeah)
For some reason, I hated the hurried summer sunset
You tell me, ""I'll always be by your side, I promise""
[Pre-Chorus: Irene]
We say, ""Everything has perfect timing
There's no need to search around (Oh)
Believe in us more than anything"" (Believe in us, ooh)
[Chorus: All]
Shall we go? Night drive (Yeah)
With you, the night feels exceptionally warm (Warm night)
Can't stop (Can't stop)
Wherever we are, you lead me like the stars
Lightning, thunder (Lightning, thunder)
It doesn't matter
We can stay up
Every moment is dreamlike when we're together
[Bridge: Seulgi,
Joy
,
Wendy
]
Making eye contact, holding hands
Leaning on each other, ah
'Cause we have all night
Let's go further away
Let's drive tonight



[Chrous: All]
Night drive with you
A night where memories pour down dazzlingly (Pour down)
Let's fly
Way above the stars
Holding you close (Holding you close)
Lightning, thunder (Thunder)
It doesn't matter (Doesn't matter)
We can stay up
Every moment is dreamlike when we're together (Dreamlike)
[Post-Chorus: All,
Seulgi
]
Packed like stars
A kiss on those memories
Saying countless times
I love you (I love you, ah, ah; I love you, baby)
Yeah, at the edge of the night sky
A path still unknown
Wherever it is, we keep going on
We can stay up
Every moment is dreamlike when we're together"
Cosmic (Cosmie Ver.),2024-08-01 00:00:00,Sweet Dreams,"4 Contributors
Translations
한국어 (Korean)
Romanization
Red Velvet - Sweet Dreams (English Translation) Lyrics
[Intro: Wendy]
Ah
Yeah, yeah
[Verse 1: Seulgi,
Joy
,
Yeri
]
In the bookshelf of a curious child
Deep in the night, when all are asleep
I wake up again (
Wake up, wake up
)
My little friend with many dreams
(Friend)
Remains the same despite the passing times
(Times)
Though the world has changed a lot
[Pre-Chorus: Wendy,
Irene
]
When the moon shines bright
Tell me about your day
I don't mind staying up all night, my love
Let's talk like we did when we were young
[Chorus: All]
Oh, you've grown so quickly, child
Come and play with me
I'm your, I'm your, I'm your friend, I-I-I'll be thеre
Beyond that unfamiliar twinkling star
Take my hand and run
I'ma, I'ma, I'ma go a-a-anywhеre



[Post-Chorus: All,
Joy
]
Na-na-na-na-na
You and I tonight
Will meet again
(
Oh, woah
)
[Verse 2: Wendy,
Irene
,
Yeri
]
As the dawn approaches tonight
I say goodnight to you, ""Sweet dreams, my love""
Our story continues even in our dream
(
Continues
; Ah)
The carousel that looked bigger than the moon
(
Carousel
)
When the lights are out in our theme park
(
Yeah
)
The grand parade, ah
(
Shall we go again?
)
[Pre-Chorus: Seulgi,
Joy
,
Yeri
,
Wendy
]
When the moon shines bright (Yeah)
I'll tell you my story
(
Ah
,
I'll tell you
)
Close your eyes and lean on me, my love
Let's turn back time
Some days
(
You're the king, you're the hero
)
Some nights
(
Some nights
;
I'm the queen, I'm the baddest
)
Tonight
We will forever protect the kingdom we created, so
(So)
[Chorus: All,
Seulgi
,
Wendy
,
Joy
]
Oh, you've grown so quickly, kid (
Yeah
)
Come and play with me
I'm your, I'm your, I'm your friend, I-I-I'll be there (
I'll be there
)
Beyond that unfamiliar twinkling star
Take my hand and run (
Take my hand and run
)
I'ma, I'ma, I'ma go a-a-anywhere (
Anywhere
)



[Post-Chorus: All,
Yeri
]
Na-na-na-na-na (
Na-na-na-na-na
)
You and I tomorrow night (
You and I tomorrow night
)
Will meet again
[Bridge: Joy,
Wendy
]
We are always young and fearless
The world we dreamt up is cosmic, a dazzling planet
You know? Nothing changes even when the sun rises
We're together, and we have the same dream, ah-ah, ah-ah
(
Ah
)
[Chorus: All,
Irene
,
Joy
]
Goodnight, my eternal child (
Yeah
)
Every moment
I'm, I'm, I'm with you (
Here we go, here we go
)
A-a-all night long
Beyond the stopped clock hands (
Yeah
)
Running through the long summer night (
Oh
)
We are gonna, gonna go a-a-anywhere (
Anywhere
)
[Post-Chorus: All,
Joy
]
Na-na-na-na-na (
Na-na-na-na-na
)
You and I, every night (
You and I, every night
; Oh)
See you again"
Cosmic,2024-06-24 00:00:00,Cosmic,"10 Contributors
Translations
한국어 (Korean)
Romanization
Español
Polski
Português
Red Velvet - Cosmic (English Translation) Lyrics
[Verse 1: Seulgi,
Irene
,
Joy
]
A far-flung star, that funny story (It's electric)
That landing so turbulent
Meeting you as the stars would have it
First star was too cold
So went galaxy-hopping
Into this uninvited crash-landing
A stranger to me, you are, should I ignore you?
I can't get you off my mind
So just to pass time, should I troll you?
[Pre-Chorus: Wendy,
Yeri
,
Irene
]
Hey, what did you do to my mind?
I wanna know you (I wanna know you)
Maybe all night I could throw questions (When the stars align)
You said if the sky's clear tonight
Tomorrow you'll be taking off, but
I got a plan, just you and I
[Chorus: All,
Wendy
]
How about you stay a little longer?
My star tells me she's a bit lonely
Sing this hidden song to you, if you let me
Love is cosmic
I'm riding on your rhythm
Through the solar system, come with me (
Ayy, yeah
)
You and I, crossing the night
Cosmic love, woah-oh



[Post-Chorus: All,
Joy
]
Riding your rhythm
Through the solar system
Wanna know you more
Cosmic love, woah-oh
[Verse 2: Wendy,
Yeri
,
Seulgi
]
Never had this feeling before
Thought about it hard, but, still remains a question mark (
Even this strange ruckus
)
Even to you I'm a stranger
You'd stare like you're seeing an alien
You know that could be hurtful
[Pre-Chorus: Seulgi,
Joy
,
Irene
]
On my star, time flows slowly
You don't have to rush, yeah (When the stars align)
Perhaps we're travelers searching
For orphaned dreams
Shooting stars lost and wandering
[Chorus: All,
Seulgi
]
How about you stay a little longer?
My star tells me she's a bit lonely
Sing this hidden song to you, if you let me
Love is cosmic
I'm riding on your rhythm
Through the solar system, come with me (
Ayy, yeah
)
You and I, crossing the night
Cosmic love, woah-oh



[Bridge: Yeri,
Wendy
,
Joy
]
A striding step towards me
Stretch out your star-tanned hand, oh
""Come with me,"" you say
""Discover things no human eyes have seen,"" you say
I just can't say goodnight
Oh-woah
I can never say goodnight
'Cause your love is cosmic
[Chorus: All,
Joy
]
I'm riding on your rhythm
Through the solar system, come with me (
Ayy, yeah
)
You and I, crossing the night
Cosmic love, woah-oh (
Woah-oh
)
[Post-Chorus: All,
Joy
,
Wendy
]
Leaving tonight
Find the stars hidden from sight (
Oh
)
Let us name them alright
Cosmic love, woah-oh
Riding your rhythm (
Ride this night
)
Through the solar system (
Oh
)
Wanna know you more
Cosmic love, oh, yeah"
Cosmic,2024-06-24 00:00:00,Sunflower,"6 Contributors
Translations
한국어 (Korean)
Polski
Romanization
Red Velvet - Sunflower (English Translation) Lyrics
[Intro: Wendy]
Hypnotized
You got me hypnotized, ah
[Verse 1: Joy,
Irene
,
Seulgi
&
Yeri
]
Under the sky
Behind the white clouds in my heart
I saw you hiding
Beyond the height that exceeds my stature
An unreachable distance
Oh, my God, oh, my God
You dazzle my eyes, what are you? Oh, my God
Feels like my feet are glued to the ground
Honey, I give you my all
[Pre-Chorus: Wendy,
Yeri
,
Irene
&
Seulgi
]
Look through the gaps between fingers
Love is so blind, especially at night
Even if I can't see, even if it's sad
I'll find you in my dreams
, driving forward
Woah-oh-woah-oh, wait for me
I might melt away in your universe
You got me hypnotizеd
[Chorus: All,
Wendy
,
Seulgi
&
Joy
]
Ooh, wow, feeling so funny
Feeling so fun, fun, feeling so funny
Ooh, I'm loving passionately
Intensely, lovе, love
Loving passionately
You got me hypnotized (
You got me
)
Spinnin' around and round (
So hypnotized
)
Can't move a muscle
Honey, I'm hypnotized when I see you



[Verse 2: Yeri &
Joy
]
Yeah, I knew, yeah, I knew, I expected it
Our worlds are different
Even the pitch-black shadows
Inevitably spread
Pink smoke
[Pre-Chorus: Seulgi,
Irene
,
Wendy
&
Joy
]
At the edge of the sky
The golden sunset that has come (Come, ah)
Disappear, you're an illusion
In my dream, overturning our centuries
(Hey, oh)
Woah-oh-woah-oh, you and me
Flying together all day and night
You got me hypnotized
[Chorus: All,
Seulgi
,
Irene
&
Yeri
]
Ooh, wow, feeling so funny
Feeling so fun, fun, feeling so funny
Ooh, I'm loving passionately
Intensely, love, love
Loving passionately
You got me hypnotized (
You got me
)
Spinnin' around and round (
So hypnotized
)
Can't move a muscle
Hypnotized, honey, when I see you



[Bridge: Joy,
Wendy
,
Irene
,
All
&  *Seulgi*]
So don't wake me up
Cross over to the rainbow called dream (
One step, two steps
)
Following your light
Ride through space & time
(*Over space and time*)
Feels like the meaning of love, you
Exist in every moment, around
Summer, autumn, winter, spring
The whole world is you
[Break: Seulgi &
Yeri
]
Ooh, wow, feeling so funny
Feeling so fun, fun, feeling so funny
Ooh, I'm dreaming all day long
You got me hypnotized
[Chorus: All,
Seulgi
,
Irene
&
Wendy
]
Ooh, wow, feeling so funny
Feeling so fun, fun, feeling so funny
Ooh, I'm loving passionately
Intensely, love, love
Loving passionately (Oh-oh)
You got me hypnotized (
Fly with me
)
You are my world (
You are my dream
)
Come and take me (
Come and, take me
)
I'm hypnotized by you, honey



[Outro: Joy]
Yeah, yeah, yeah
Hypnotized, honey
Hypnotized, honey, yeah"
Cosmic,2024-06-24 00:00:00,Last Drop,"6 Contributors
Translations
한국어 (Korean)
Romanization
Polski
Red Velvet - Last Drop (English Translation) Lyrics
[Intro]
Ah
Ah, ah
Ah, ah
[Verse 1: Wendy &
Joy
]
Like a dazzling night festival
Still vividly remaining, float away
Memories like dazzling fantasies
Ah, tearfully
All the beautiful
Times are leaving me, stealing you away
Shining faintly
Oh, baby
[Pre-Chorus: Yeri]
Every day passing us by
Night and day getting further away
This isn't the end, remember
It was passionately green
[Chorus: All,
Irene
&
Seulgi
]
Let's begin, the last drop for you
You and I, yeah, we never gonna stop
Pour it out generously, the last drop
Giving my all
Burning myself pure white, the last drop
Make it blast 'til the very last time
Shining brightly on you, thе last drop
Giving it all I've got



[Verse 2: Joy &
Seulgi
]
Forever on an unchanging orbit
I will gladly stay by your sidе
Even if everything eventually breaks apart, oh
You make my world go around
Turn it right up when it's down
No matter what form, it's alright
Because in the end, I realize
[Pre-Chorus: Irene]
I'm not afraid in every way
Because it's you who kept me through the long nights
Shining again like a miracle
Embracing deeply
[Chorus: All,
Wendy
&
Yeri
]
Let's start, the last drop for you
You and I, yeah, we never gon' stop
Pour it out generously, last drop
With all my heart
Burn myself pure white, last drop
Make it blast 'til the very last time
Shining brightly on you, last drop
With all my strength
[Interlude: Wendy,
Yeri
,
Irene
,
Seulgi
& *Joy*]
No one knows where a fading star goes
But we can feel each other
And I'll fly light-years to find you (
I'll fly,
I'll fly
)
To you, who made me shine bright
(Shine bright)
In the boundless night
To you, my universe
(*Last drop*)
And the only reason I exist



[Bridge: Wendy]
I'll shine on you with all my heart until the end
[Chorus: Seulgi,
All
,
Joy
&
Seulgi
]
On any night, dazzling brightly
I'll always be here for you
Smiling, meeting again (Ooh)
Like our first time
Remember our last drop
You and I, yeah, we never gon' stop
Moments we'll forever engrave
With all my heart
It'll be another beginning, our last drop
(
To the very last drop
)
Make it blast 'til the very last time
(
To the very last drop
)
Standing at the end of the world's night
With all my strength
[Outro]
Ah
Ah, ah
Ah, ah
Ah
Ah, ah
Ah, ah"
