album,data,musica,letra
Cosmic (Cosmie Ver.),2024-08-01,Cosmic,"18 Contributors
Translations
Romanization
English
Español
Polski
Português
Cosmic Lyrics
[레드벨벳 ""Cosmic"" 가사]
[Verse 1: Seulgi,
Irene
,
Joy
,
Yeri
]
외딴 별 그 funny story (
It's electric
)
그 소란스런 landing
너를 만난 별난 사건
첫 번째 별은 차가워
몇 번째 은하를 건너
멋대로
불시착한
그대란 낯선 이방인을 버려둘까?
솔직히 너무 신경 쓰여
재미 삼아 놀려줄까?
[Pre-Chorus: Wendy,
Yeri
,
Irene
]
Hey, what did you do to my mind?
네가 궁금해져 (네가 궁금해져)
밤새 질문할 수도 있어 (When the stars align)
오늘 밤이 맑다면
내일 떠나겠단 너
I got a plan, just you and I
[Chorus: All,
Wendy
]
조금 더 머무르면 어때?
나의 별이 조금 외롭대
아껴둔 노래를 들려줄게
Love is cosmic
I'm riding on your rhythm
Through the solar system, come with me (
Ayy, yeah
)
우린 이 밤을 건너 둘이
Cosmic love, woah-oh



[Post-Chorus: All,
Joy
]
Riding your rhythm
Through the solar system
널 더 알고 싶어
Cosmic love, woah-oh
[Verse 2: Wendy,
Irene & Seulgi
,
Yeri
,
Irene
]
이런 감정 처음이라
곰곰이 생각해 봐도 물음표야
낯선 이 소동도
(Ah)
너에게도 내가 낯설지
외계인 보듯 보던 걸
상처받을 수도 있어
[Pre-Chorus: Seulgi,
Joy
,
Yeri
]
내 별의 시간은
천천히 흘러가 (천천히 흘러가)
넌 서두르지 않아도 돼, yeah (When the stars align)
어쩜 우린 주인 없는
꿈을 찾는 여행자
헤매이던 작은 유성
[Chorus: All,
Seulgi
]
조금 더 머무르면 어때?
나의 별이 조금 외롭대
아껴둔 노래를 들려줄게
Love is cosmic
I'm riding on your rhythm
Through the solar system, come with me (
Ayy, yeah
)
우린 이 밤을 건너 둘이
Cosmic love, woah-oh



[Bridge: Yeri,
Wendy
,
Seulgi
]
너는 성큼 다가와
그을린 손 내밀며, oh
함께 떠나자 해
보지 못한 것들 찾자 해
I just can't say ""Good night""
Oh-woah-oh
I can never sa
y ""Good night""
'Cause your love is cosmic
[Chorus: All,
Seulgi
,
Joy
]
I'm riding
on your rhythm
Through the solar system, come with me (
Ayy, yeah
)
우린 이 밤을 건너 둘이
Cosmic love, woah-oh (
Love, woah-oh
)
[Post-Chorus: All,
Wendy
,
Irene
,
Seulgi
]
오늘 밤 떠나
숨겨진 별 찾아 (
Oh
)
이름 붙일 거야
Cosmic love, woah-oh
Riding your rhythm (
이 밤을 타고
)
Through the solar system (
Oh
)
널 더 알고 싶어
Cosmic love, oh, yeah"
Cosmic (Cosmie Ver.),2024-08-01,Sunflower,"8 Contributors
Translations
Polski
Romanization
English
Sunflower Lyrics
[레드벨벳 ""Sunflower"" 가사]
[Intro: Wendy]
Hypnotized
You got me hypnotized
Ah-ah-ah
[Verse 1: Joy,
Irene
,
Seulgi
,
Yeri
]
Under the sky
내 맘 하얀 구름 뒤에
숨은 널 봤어
내 키를 훌쩍 넘기는 눈높이에
닿지 않는 거리
Oh, my God, oh, my God
눈이 부셔 넌 뭐지 oh, my God
땅에 발이 붙어버린 느낌
Honey, I give you my all
[Pre-Chorus: Wendy,
Yeri
,
Irene
,
Seulgi
]
손 틈새로 바라봐
Love is so blind, 밤이면
볼 수 없어 슬퍼도
꿈속에 널 찾아갈게 땅을 박차고
Oh-oh-woah-oh, wait for me
녹을지 몰라 난 너의 우주에선
You got me hypnotized



[Chorus: All,
Wendy
,
Seulgi
,
Joy
]
Ooh, wow, feeling so funny
Feeling so fun, fun, feeling so funny
Ooh, I'm 뜨겁게 loving
뜨겁게, love, love, 뜨겁게 loving
You got me hypnotized (
You got me
)
Spinnin' around and round (
So hypnotized
)
꼼짝 못 해
널 볼 때 hypnotized, honey
[Verse 2: Yeri,
Joy
]
Yeah, I knew, yeah, I knew, 예상했어
너와 내 세상은 다르단 걸
까맣게 번진 그림자도
피할 수 없이 퍼진
핑크빛 smoke
[Pre-Chorus: Seulgi,
Irene
,
Wendy
,
Joy
]
하늘 끝에 찾아온
황금빛 노을 이대로 (이대로, ah)
사라져 넌 신기루
In my dream, 너와 내 세곌 뒤집어 버려
(Hey, oh)
Oh-oh-woah-oh, you and me
낮과 밤 온종일 함께 날고 있어
You got me hypnotized



[Chorus: All,
Seulgi
,
Irene
,
Yeri
]
Ooh, wow, feeling so funny
Feeling so fun, fun, feeling so funny
Ooh, I'm 뜨겁게 loving
뜨겁게, love, love, 뜨겁게 loving
You got me hypnotized (
You got me
)
Spinnin' around and round (
So hypnotized
)
꼼짝 못 해
널 볼 때 hypnotized, honey
[Bridge: Joy,
Wendy
,
Irene
,
All
, *Seulgi*]
So don't wake me up
건너와 꿈이란 rainbow (
한발 두발
)
네 빛을 따라
Ride through space & time
(*Over space and time*)
사랑한단 의미 같아 네가
모든 시간 속에 있어 around
Summer, autumn, winter, spring
온 세상 너야
[Break: Seulgi,
Yeri
]
Ooh, wow, feeling so funny
Feeling so fun, fun, feeling so funny
Ooh, I'm dreaming, 온종일
You got me hypnotized



[Chorus: All,
Wendy
,
Seulgi
,
Irene
]
Ooh, wow, feeling so funny
Feeling so fun, fun, feeling so funny
Ooh, I'm 뜨겁게 loving
뜨겁게, love, love, 뜨겁게 loving (
Oh-oh
)
You got me hypnotized (
Fly with me
)
넌 나의 세계야 (
내 꿈이야
)
Come and take me (
Come and, take me
)
난 네게 hypnotized, honey
[Outro: Joy]
Yeah, yeah, yeah
Hypnotized, honey
Hypnotized, honey, yeah"
Cosmic (Cosmie Ver.),2024-08-01,Last Drop,"9 Contributors
Translations
Romanization
English
Polski
Last Drop Lyrics
[레드벨벳 ""Last Drop"" 가사]
[Intro]
Ah
Ah, ah
Ah, ah
[Verse 1: Wendy,
Joy
]
화려한 밤의 축제처럼
아직 선명히 남아 float away
눈부신 환상 같은 기억
Ah, 눈물 나게
온통 아름답던
시간은 내게 너를 뺏은 채
희미한 빛을 내고 있어
Oh, baby
[Pre-Chorus: Yeri]
우릴 스쳐가는 every day
또 성큼 멀어지는 night and day
여긴 끝이 아냐 기억해
뜨겁게 푸르던
[Chorus: All,
Irene
,
Seulgi
]
시작해 너를 위한 last drop
You and I, yeah, we never gon' stop
쏟아내 아낌없이 last drop
온 맘을 다해서
하얗게 나를 태워 last drop
Make it blast ’til the very last time
찬란히 너를 비출 last drop
온 힘을 다해서



[Verse 2: Joy,
Seulgi
]
영원히 변치 않을 궤도
기꺼이 너의 곁에 있을게
끝내 전부 부서진다 해도, oh
You make my world go around
Turn it right up when it's down
어떤 모습이든 alright
결국은 알아보니까
[Pre-Chorus: Irene]
겁나지는 않아 every way
긴 밤을 지켜주던 너이기에
기적처럼 다시 빛을 내
깊게 끌어안아
[Chorus: All,
Wendy
,
Yeri
]
시작해 너를 위한 last drop
You and I, yeah, we never gon' stop
쏟아내 아낌없이 last drop
온 맘을 다해서
하얗게 나를 태워 last drop
Make it blast ’til the very last time
찬란히 너를 비출 last drop
온 힘을 다해서
[Interlude: Wendy,
Yeri
,
Irene
,
Seulgi
, *Joy*]
No one knows where a fading star goes
But we can feel each other
And I'll fly light-years to find you (
I'll fly,
I'll fly
)
To you, who made me shine bright
(Shine bright)
In the boundless night
To you, my universe
(*Last drop*)
And the only reason I exist



[Bridge: Wendy]
온 맘을 다해 끝까지 널 비출게
[Chorus: Seulgi,
All
,
Joy
,
Seulgi
]
어떤 밤도 눈이 부시게
언제든 이 자리에 있을게
웃으면서 다시 인사해 (Ooh)
처음 우리처럼
기억해 너와 나의 last drop
You and I, yeah wе never gon' stop
영원히 새겨놓을 순간
온 맘을 다해서
또 다른 시작이 될 last drop
(
To the vеry last drop
)
Make it blast 'til the very last time
(
To the very last drop
)
세상의 가장 끝에 선 밤
온 힘을 다해서
[Outro]
Ah
Ah, ah
Ah, ah
Ah
Ah, ah
Ah, ah"
Cosmic (Cosmie Ver.),2024-08-01,Love Arcade,"5 Contributors
Translations
Romanization
English
Polski
Love Arcade Lyrics
[레드벨벳 ""Love Arcade"" 가사]
[Verse 1: Irene,
Seulgi
,
Yeri
,
Joy
]
The arcade, 눈앞에 펼쳐지는 ring
어느새 묘한 긴장이 타고 흐르지
Is it real? Is it fake? 헷갈려도 좋은 play
Is it love? 그 순간 바로 시작되는 count
쉴 새 없는 round, 정신없이 달려
(Oh)
Get a score, more and more, 힌트 없는 mission
계속되는 attack, 아찔한 함정에 우린
(Oh, no)
또 엇갈려 자꾸 reset
(One, two, three)
[Pre-Chorus: Wendy,
Seulgi
,
Yeri
,
Irene
]
떠올려 처음 널 본 순간
내 머릿속은 game over
너도 딱 같은 맘이지?
어차피 의미 없는 winner
끌린 대로 start 같이 가볼까?
Let's go to the top
[Chorus: All,
Wendy
,
Yeri
]
We can't play no game the right way
모든 걸 뒤바꿀 time
(
Do, do you wanna?
)
We can't play no game the right way
끝날 때까지, go high, go high, ah, yeah



[Verse 2: Yeri,
Joy
,
Irene
]
자 이제부터 game의 key는 우리 거 (
우리 거
)
시간도 무한대로 round (Round, round, round, round)
골라 이다음 stage
(
Yeah
),
어디든 가능해
(
Yeah
)
뭐든 상관없어 'cause, baby, you're my prize
(One, two, three)
[Pre-Chorus: Wendy,
Irene
,
Seulgi
,
Joy
]
Yeah, we won't stop now, 맘껏 customize
뻔한 course, new record, 이젠 모두 break down
Ready? 모든 준비 완료
(준비 완료)
규칙 따윈 없어
(Makе a new stage)
재미 없는 quest 끝을 내볼까?
(Oh-oh-oh)
Lеt's go to the top
[Chorus: All,
Wendy
,
Irene
]
We can't play no game the right way
모든 걸 뒤바꿀 time
(
Do, do you wanna?
)
We can't play no game the right way
끝날 때까지, go high, go high
(Ah, ah, ah)
[Post-Chorus: Seulgi,
Yeri
,
Wendy
]
Oh, ba-ba-ba-ba
드디어 game start
모든 걸 break down
자유로운 new world
우리 둘만의 한계 없는 game
(Yeah, yeah, yeah)



[Chorus: All,
Seulgi
,
Yeri
,
Wendy
]
We can't play no game the right way
중요한 건 you and I
(Baby, 중요한 건 you and I)
We can't play no game the right way
우리 맘대로 go high, go high
(
자유롭게, go high
)
[Outro: Wendy,
Joy
]
함께, yeah
Oh, let's play"
Cosmic (Cosmie Ver.),2024-08-01,Bubble,"6 Contributors
Translations
Romanization
English
Bubble Lyrics
[레드벨벳 ""Bubble"" 가사]
[Intro]
Ooh
Ooh, ooh (Ooh)
[Verse 1: Joy,
Yeri
,
Seulgi
,
Wendy
, (Irene)]
저기 찬란한
한 조각 희미한 빛에 놀라
난 넘어졌어
꿈틀대는 별
움켜쥐면 넘쳐
저 하늘 위로 올라가는 걸
마음이 닿는다면
온 우주에 메아리쳐
(서로의 소리)
시간이 흘러도
서로의 맘 그 자리에
[Chorus: All,
Joy
,
Irene
]
반짝인 두 눈에
담겨있는 별빛들을 만지다
두근대는 소리 가득한 세상에서
미처 못 했던 말, oh, yeah
노을이 비추고 있는 빨간 볼
사이 너의 귓가에 말하고파



[Verse 2: Seulgi,
Wendy
,
Irene
,
Joy
]
내리쬐는 햇살은
우리를 꼬집곤 해
배시시 웃고
짓궂은 빛깔들로 다
말을 걸어 문 두드려
어디든 함께 하고 싶어
너의 빛을 따라가면
모든 꿈은 선명해지니까
[Chorus: All,
Wendy
,
Yeri
]
반짝인 두 눈에
담겨있는 별빛들을 만지다
두근대는 소리 가득한 세상에서
미처 못 했던 말, oh, yeah
노을이 비추고 있는 빨간 볼
사이 너의 귓가에 말하고파
[Bridge: Irene,
Joy
,
Wendy
,
Seulgi
]
같은 달을 봤어
매일 꿈을 꾸고 싶어
그림자 속 가려진 찬란의 빛
함께 보고 있는 저곳이
너무 반짝거리니까
(Ooh)
[Chorus: All,
Seulgi
,
Wendy
]
반짝인 두 눈에
담겨있는 별빛들을 만지다
두근대는 소리 가득한 세상에서
미처 못 했던 말, oh, yeah
노을이 비추고 있는 빨간 볼
사이 너의 귓가에 말하고파



[Outro: All]
Ooh
Ooh
미처 못 했던 말, oh, yeah (Ooh, yeah)
끝없이 펼쳐진 우릴 기억해
꼭 마주 잡은 두 손 위로 (Ooh)"
Cosmic (Cosmie Ver.),2024-08-01,Night Drive,"9 Contributors
Translations
Romanization
English
Night Drive Lyrics
[레드벨벳 ""Night Drive"" 가사]
[Intro]
Oh-woah
[Verse 1: Seulgi,
Irene
,
Wendy
,
Yeri
]
보여?
마치 유성 같아 우릴 부른 저 신호탄
잠에 빠진 듯한 도시 위를 비춰와
Yeah, ah, 반짝 눈부신 풍경 맘을 뺏겨도 fine
Alright, yeah
(Oh)
하얀 달빛 소린 다시 우릴 데려가
(Oh)
뭔가 멋진 일들이 생길 것만 같은 밤
(Oh, yeah)
이제 어리지 않잖아 내 느낌대로 try
It's time
[Pre-Chorus: Joy]
지도엔 없는 곳 어디든 fly
운명처럼, let's roll the dice
[Chorus: All]
갈까? Night drive
네가 있어 유난히 더 따스한 밤
Can't stop
별빛 속을 유영하듯 헤매는 밤
Lightning, thunder
상관없어
We can stay up
함께면 우린 매 순간 dreamlike



[Verse 2: Wendy,
Yeri
]
아직 기억해 널 처음 보았던 summer days (Yeah, yeah)
왠지 서두른 여름 노을이 미웠지
내게 말해 넌, ""항상 난 네 곁에 있을게 약속해""
[Pre-Chorus: Irene]
We say, ""모든 게 완벽한 timing
찾아 헤맬 필요 없어 (Oh)
그 어떤 것보다 우릴 믿어"" (우릴 믿어, ooh-ooh, ooh-ooh)
[Chorus: All]
갈까? Night drive (Yeah)
네가 있어 유난히 더 따스한 밤 (따스한 밤)
Can't stop (Can't stop)
어디서든 넌 나를 이끄는 stars
Lightning, thunder (Lightning, thunder)
상관없어 (Yeah)
We can stay up
함께면 우린 매 순간 dreamlike
[Bridge: Seulgi,
Joy
,
Wendy
]
눈을 맞추고 손을 맞대고
서로에 기대, ah
'Cause we have all night
떠나자 더 멀리
Let's drive tonight



[Chrous: All,
Wendy
,
Seulgi
]
너와 night drive
추억들이 눈부시게 쏟아진 밤 (
쏟아진 밤
)
Let's fly
Way above the stars
너를 끌어안아 (
끌어안아
)
Lightning, thunder (
Lightning, thunder
)
상관없어 (
상관없어
)
We can stay up
함께면 우린 매 순간 dreamlike (
Dreamlike
)
[Post-Chorus: All,
Wendy
,
Joy
,
Seulgi
]
별처럼 빼곡해진
추억 그 위에 kiss
말해 셀 수 없이
사랑한다고 (
한다고, ah, ah
;
사랑해 널 baby
)
Yeah, 밤하늘 가장자리
아직 모르는 길
그게 어디든지 wе keep going on
We can stay up
함께면 우린 매 순간 dreamlike"
Cosmic (Cosmie Ver.),2024-08-01,Sweet Dreams,"3 Contributors
Translations
English
Romanization
Sweet Dreams Lyrics
[레드벨벳 ""Sweet Dreams"" 가사]
[Intro: Wendy]
Ah
Yeah, yeah
[Verse 1: Seulgi,
Joy
,
Yeri
]
호기심 많던 아이의 책장 속
깊은 새벽 모두 잠들면
다시 눈 뜨지 (
Wake up, wake up
)
꿈 많던 나의 작은 friend
(Friend)
시간이 가도 여전해
(해)
세상은 참 많은 게 변했지만
[Pre-Chorus: Wendy,
Irene
]
When the moon shines bright
너의 하룰 들려줘
밤을 새워도 좋아 my love
어릴 적 그때처럼 talk
[Chorus: All]
훌쩍 자라버린 아이야
나와 함께 놀자
I'm your, I'm your, I'm your friend, I-I-I'll be there
반짝 낯선 저 별 너머
손을 잡고 달려
I'ma, I'ma, I'ma go a-a-anywhere



[Post-Chorus: All,
Joy
]
Na-na-na-na-na
오늘 밤 너와 나
다시 또 만나 (
Oh, woah
)
[Verse 2: Wendy,
Irene
,
Yeri
]
푸른 새벽이 다가오는 이 밤
네게 인사해, ""Sweet dreams, my love""
꿈에서도 이야기는 계속돼
(
계속돼
; Ah)
저 달보다 커 보였던 carousel
(
Carousel
)
어느샌가 불이 꺼진 our theme park
(
Yeah
)
화려한 parade, ah
(
다시 가볼까?
)
[Pre-Chorus: Seulgi,
Joy
,
Yeri
,
Wendy
]
When the moon shines bright (Yeah)
내 얘길 들려줄게 (
Ah
,
들려줄게
)
눈을 감고 기대봐 my love
시간을 되돌아가
Some days
(
You're the king, you're the hero
)
Some nights
(
Some nights
;
I'm the queen, I'm the baddest
)
Tonight
우리가 만든 kingdom
영원히 지켜줄게 so
(So)
[Chorus: All,
Seulgi
,
Wendy
,
Joy
]
훌쩍 자라버린 아이야 (
Yeah
)
나와 함께 놀자
I'm your, I'm your, I'm your friend, I-I-I'll be there (
I'll be there
)
반짝 낯선 저 별 너머
손을 잡고 달려 (
손을 잡고 달려
)
I'ma, I'ma, I'ma go a-a-anywhere (
Anywhere
)



[Post-Chorus: All,
Yeri
]
Na-na-na-na-na (
Na-na-na-na-na
)
오늘 밤 너와 나 (
오늘 밤 너와 나
)
다시 또 만나
[Bridge: Joy,
Wendy
]
언제나 우린 어리고 fearless
둘이서 그린 세상은 cosmic, 눈부신 planet
알지? 변하는 건 없어, 해가 떠올라도
같은 꿈을 꾸는, 우린 함께인 걸, ah-ah, ah-ah
(
Ah
)
[Chorus: All,
Irene
,
Joy
]
잘 자 영원한 내 아이야 (
Yeah
)
너의 모든 순간
I'm, I'm, I'm with you (
Here we go, here we go
)
A-a-all night long
멈춘 시곗바늘 너머 (
Yeah
)
긴 여름밤을 달려 (
Oh
)
We are gonna, gonna go a-a-anywhere (
Anywhere
)
[Post-Chorus: All,
Joy
]
Na-na-na-na-na (Na-na-na-na-na)
매일 밤 너와 나 (매일 밤 너와 나; Oh)
다시 또 만나"
Cosmic,2024-06-24,Cosmic,"18 Contributors
Translations
Romanization
English
Español
Polski
Português
Cosmic Lyrics
[레드벨벳 ""Cosmic"" 가사]
[Verse 1: Seulgi,
Irene
,
Joy
,
Yeri
]
외딴 별 그 funny story (
It's electric
)
그 소란스런 landing
너를 만난 별난 사건
첫 번째 별은 차가워
몇 번째 은하를 건너
멋대로
불시착한
그대란 낯선 이방인을 버려둘까?
솔직히 너무 신경 쓰여
재미 삼아 놀려줄까?
[Pre-Chorus: Wendy,
Yeri
,
Irene
]
Hey, what did you do to my mind?
네가 궁금해져 (네가 궁금해져)
밤새 질문할 수도 있어 (When the stars align)
오늘 밤이 맑다면
내일 떠나겠단 너
I got a plan, just you and I
[Chorus: All,
Wendy
]
조금 더 머무르면 어때?
나의 별이 조금 외롭대
아껴둔 노래를 들려줄게
Love is cosmic
I'm riding on your rhythm
Through the solar system, come with me (
Ayy, yeah
)
우린 이 밤을 건너 둘이
Cosmic love, woah-oh



[Post-Chorus: All,
Joy
]
Riding your rhythm
Through the solar system
널 더 알고 싶어
Cosmic love, woah-oh
[Verse 2: Wendy,
Irene & Seulgi
,
Yeri
,
Irene
]
이런 감정 처음이라
곰곰이 생각해 봐도 물음표야
낯선 이 소동도
(Ah)
너에게도 내가 낯설지
외계인 보듯 보던 걸
상처받을 수도 있어
[Pre-Chorus: Seulgi,
Joy
,
Yeri
]
내 별의 시간은
천천히 흘러가 (천천히 흘러가)
넌 서두르지 않아도 돼, yeah (When the stars align)
어쩜 우린 주인 없는
꿈을 찾는 여행자
헤매이던 작은 유성
[Chorus: All,
Seulgi
]
조금 더 머무르면 어때?
나의 별이 조금 외롭대
아껴둔 노래를 들려줄게
Love is cosmic
I'm riding on your rhythm
Through the solar system, come with me (
Ayy, yeah
)
우린 이 밤을 건너 둘이
Cosmic love, woah-oh



[Bridge: Yeri,
Wendy
,
Seulgi
]
너는 성큼 다가와
그을린 손 내밀며, oh
함께 떠나자 해
보지 못한 것들 찾자 해
I just can't say ""Good night""
Oh-woah-oh
I can never sa
y ""Good night""
'Cause your love is cosmic
[Chorus: All,
Seulgi
,
Joy
]
I'm riding
on your rhythm
Through the solar system, come with me (
Ayy, yeah
)
우린 이 밤을 건너 둘이
Cosmic love, woah-oh (
Love, woah-oh
)
[Post-Chorus: All,
Wendy
,
Irene
,
Seulgi
]
오늘 밤 떠나
숨겨진 별 찾아 (
Oh
)
이름 붙일 거야
Cosmic love, woah-oh
Riding your rhythm (
이 밤을 타고
)
Through the solar system (
Oh
)
널 더 알고 싶어
Cosmic love, oh, yeah"
Cosmic,2024-06-24,Sunflower,"8 Contributors
Translations
Polski
Romanization
English
Sunflower Lyrics
[레드벨벳 ""Sunflower"" 가사]
[Intro: Wendy]
Hypnotized
You got me hypnotized
Ah-ah-ah
[Verse 1: Joy,
Irene
,
Seulgi
,
Yeri
]
Under the sky
내 맘 하얀 구름 뒤에
숨은 널 봤어
내 키를 훌쩍 넘기는 눈높이에
닿지 않는 거리
Oh, my God, oh, my God
눈이 부셔 넌 뭐지 oh, my God
땅에 발이 붙어버린 느낌
Honey, I give you my all
[Pre-Chorus: Wendy,
Yeri
,
Irene
,
Seulgi
]
손 틈새로 바라봐
Love is so blind, 밤이면
볼 수 없어 슬퍼도
꿈속에 널 찾아갈게 땅을 박차고
Oh-oh-woah-oh, wait for me
녹을지 몰라 난 너의 우주에선
You got me hypnotized



[Chorus: All,
Wendy
,
Seulgi
,
Joy
]
Ooh, wow, feeling so funny
Feeling so fun, fun, feeling so funny
Ooh, I'm 뜨겁게 loving
뜨겁게, love, love, 뜨겁게 loving
You got me hypnotized (
You got me
)
Spinnin' around and round (
So hypnotized
)
꼼짝 못 해
널 볼 때 hypnotized, honey
[Verse 2: Yeri,
Joy
]
Yeah, I knew, yeah, I knew, 예상했어
너와 내 세상은 다르단 걸
까맣게 번진 그림자도
피할 수 없이 퍼진
핑크빛 smoke
[Pre-Chorus: Seulgi,
Irene
,
Wendy
,
Joy
]
하늘 끝에 찾아온
황금빛 노을 이대로 (이대로, ah)
사라져 넌 신기루
In my dream, 너와 내 세곌 뒤집어 버려
(Hey, oh)
Oh-oh-woah-oh, you and me
낮과 밤 온종일 함께 날고 있어
You got me hypnotized



[Chorus: All,
Seulgi
,
Irene
,
Yeri
]
Ooh, wow, feeling so funny
Feeling so fun, fun, feeling so funny
Ooh, I'm 뜨겁게 loving
뜨겁게, love, love, 뜨겁게 loving
You got me hypnotized (
You got me
)
Spinnin' around and round (
So hypnotized
)
꼼짝 못 해
널 볼 때 hypnotized, honey
[Bridge: Joy,
Wendy
,
Irene
,
All
, *Seulgi*]
So don't wake me up
건너와 꿈이란 rainbow (
한발 두발
)
네 빛을 따라
Ride through space & time
(*Over space and time*)
사랑한단 의미 같아 네가
모든 시간 속에 있어 around
Summer, autumn, winter, spring
온 세상 너야
[Break: Seulgi,
Yeri
]
Ooh, wow, feeling so funny
Feeling so fun, fun, feeling so funny
Ooh, I'm dreaming, 온종일
You got me hypnotized



[Chorus: All,
Wendy
,
Seulgi
,
Irene
]
Ooh, wow, feeling so funny
Feeling so fun, fun, feeling so funny
Ooh, I'm 뜨겁게 loving
뜨겁게, love, love, 뜨겁게 loving (
Oh-oh
)
You got me hypnotized (
Fly with me
)
넌 나의 세계야 (
내 꿈이야
)
Come and take me (
Come and, take me
)
난 네게 hypnotized, honey
[Outro: Joy]
Yeah, yeah, yeah
Hypnotized, honey
Hypnotized, honey, yeah"
Cosmic,2024-06-24,Last Drop,"9 Contributors
Translations
Romanization
English
Polski
Last Drop Lyrics
[레드벨벳 ""Last Drop"" 가사]
[Intro]
Ah
Ah, ah
Ah, ah
[Verse 1: Wendy,
Joy
]
화려한 밤의 축제처럼
아직 선명히 남아 float away
눈부신 환상 같은 기억
Ah, 눈물 나게
온통 아름답던
시간은 내게 너를 뺏은 채
희미한 빛을 내고 있어
Oh, baby
[Pre-Chorus: Yeri]
우릴 스쳐가는 every day
또 성큼 멀어지는 night and day
여긴 끝이 아냐 기억해
뜨겁게 푸르던
[Chorus: All,
Irene
,
Seulgi
]
시작해 너를 위한 last drop
You and I, yeah, we never gon' stop
쏟아내 아낌없이 last drop
온 맘을 다해서
하얗게 나를 태워 last drop
Make it blast ’til the very last time
찬란히 너를 비출 last drop
온 힘을 다해서



[Verse 2: Joy,
Seulgi
]
영원히 변치 않을 궤도
기꺼이 너의 곁에 있을게
끝내 전부 부서진다 해도, oh
You make my world go around
Turn it right up when it's down
어떤 모습이든 alright
결국은 알아보니까
[Pre-Chorus: Irene]
겁나지는 않아 every way
긴 밤을 지켜주던 너이기에
기적처럼 다시 빛을 내
깊게 끌어안아
[Chorus: All,
Wendy
,
Yeri
]
시작해 너를 위한 last drop
You and I, yeah, we never gon' stop
쏟아내 아낌없이 last drop
온 맘을 다해서
하얗게 나를 태워 last drop
Make it blast ’til the very last time
찬란히 너를 비출 last drop
온 힘을 다해서
[Interlude: Wendy,
Yeri
,
Irene
,
Seulgi
, *Joy*]
No one knows where a fading star goes
But we can feel each other
And I'll fly light-years to find you (
I'll fly,
I'll fly
)
To you, who made me shine bright
(Shine bright)
In the boundless night
To you, my universe
(*Last drop*)
And the only reason I exist



[Bridge: Wendy]
온 맘을 다해 끝까지 널 비출게
[Chorus: Seulgi,
All
,
Joy
,
Seulgi
]
어떤 밤도 눈이 부시게
언제든 이 자리에 있을게
웃으면서 다시 인사해 (Ooh)
처음 우리처럼
기억해 너와 나의 last drop
You and I, yeah wе never gon' stop
영원히 새겨놓을 순간
온 맘을 다해서
또 다른 시작이 될 last drop
(
To the vеry last drop
)
Make it blast 'til the very last time
(
To the very last drop
)
세상의 가장 끝에 선 밤
온 힘을 다해서
[Outro]
Ah
Ah, ah
Ah, ah
Ah
Ah, ah
Ah, ah"
