album,data,musica,letra
Cosmic,2024,Cosmic,"Lonely star, that funny story
(It's electric)
That noisy landing
The strange incident of meeting you
The first star is cold
Crossing several galaxies
Landing randomly
Should I abandon you, the unfamiliar stranger?
Honestly, I'm too worried
Should I tease you for fun?
Hey, what did you do to my mind?
I'm curious about you (I'm curious about you)
I might ask questions all night long
(When the stars align)
If tonight is clear
You say you'll leave tomorrow
I got a plan, just you and I
How about staying a little longer?
My star feels a bit lonely
I'll play you the cherished song
Love is cosmic
I'm riding on your rhythm
Through the solar system
Come with me
The two of us crossing this night
Cosmic love
Riding your rhythm
Through the solar system
I want to know you more
Cosmic love
These feelings are new
Even after thinking deeply, it's a question mark
This unfamiliar commotion
I might seem strange to you too
Like an alien you used to see
I might get hurt
The time of my star flows slowly
You don't have to rush
(When the stars align)
Maybe we are travelers
Looking for ownerless dreams
A small wandering meteor
How about staying a little longer?
My star feels a bit lonely
I'll play you the cherished song
Love is cosmic
I'm riding on your rhythm
Through the solar system
Come with me
The two of us crossing this night
Cosmic love
You come closer
Reaching out your burnt hand
Let's leave together
Let's find things we haven't seen
I just can't say goodnight
I can never say goodnight
'Cause your love is cosmic
I'm riding on your rhythm
Through the solar system
Come with me
The two of us crossing this night
Cosmic love
Tonight, let's leave
Find hidden stars
I'll give them names
Cosmic love
Riding your rhythm
(Riding this night)
Through the solar system
I want to know you more
Cosmic love, oh, yeah"
Cosmic,2024,Sunflower,LETRA INDISPONÍVEL
Cosmic,2024,Last Drop,LETRA INDISPONÍVEL
Cosmic,2024,Love Arcade,LETRA INDISPONÍVEL
Cosmic,2024,Bubble,LETRA INDISPONÍVEL
Cosmic,2024,Night Drive,LETRA INDISPONÍVEL
Cosmic,2024,Sweet Dreams,LETRA INDISPONÍVEL
Chill Kill - The 3rd Album,2023,Chill Kill,"Ooh
Ooh, oh
Where did you come from suddenly
The crash of the quiet world
The appearance of Chill Kill is like thunder
I went crazy with that thrill
Praise the sweetness of the incomplete error
What were you afraid of? Always and forever
You were too easy, you were mine
I hugged you as I pleased and sent you off coolly (ooh)
I miss you again
Regretting to death
Yeah, don't care if it hu-hu-hurts
The perfect soul that suits you
Can I hold onto you again?
(Hey) don't think about tomorrow
(Yoo-hoo) You still shine brightly
It will change now
Tears flow, melting the ice
What a chill kill
I know you will
Bring me lightning
Like a winner
I'm waiting for you here
To a happy ending
What a chill kill
Light the lighthouse on the long night
So you don't lose your way (I'm here)
It's a harsh night
The whole world holds its breath
You tamed me wrong
You only knew me
Why did you do so well?
Do I deserve it? (together)
You keep running far away
Shouting that you hate me
You hesitated at the end of those words
You looked into my eyes (don't run away)
Rough and awkward nights were young
Let's warm up the cold night
Yeah, look, look, I've changed a lot
I've changed quite a bit
Can I hug you once more?
(Hey) don't think about tomorrow
(Yoo-hoo) You still shine brightly
It will change now
Tears flow, melting the ice
What a chill kill
I know you will
Bring me lightning
Like a winner
I'm waiting for you here
To a happy ending
What a chill kill
Say, say, say
Now, are you ready, ready? (You ready?)
Say, say, say
Now, are you ready?
Because of you (because of you)
I don't cry, ah-ah-ah
Because of you (because of you)
I could only smile (up in the sky)
Yeah, it's love
The orange sun is almost setting
I only need your warmth
Until the end (till the end of time, yeah, yeah)
End of time
(Hey) don't think about tomorrow
(Yoo-hoo) You endlessly shine (oh, yeah, yeah)
It will change now
Tears flow, melting the ice
Don't think about tomorrow (oh, yeah)
Forget about your sorrow (oh)
It will change, you can't leave me
Tears flow, melting the ice (melting the ice)
Don't think about tomorrow
You endlessly shine
It will change, now it's my turn"
Chill Kill - The 3rd Album,2023,Knock Knock (Who's There?),"Oh-oh-oh, oh
Oh-oh-oh, oh
Oh-oh-oh, oh, oh-oh-oh
Oh-oh-oh, oh
Oh-oh-oh, oh
Oh-oh-oh, oh, oh-oh-oh
The sound of the wind behind the closed door
Your gaze beyond the drawn curtain
Dizzy dream (get the clue)
Covered bed (feel like a trap)
Early morning mist (deep inside)
Our playground reopened
When day and night change beyond the window
The deepening loneliness is walking dead
I'm more curious (I wanna play)
The thick darkness descends and leads you
Like a mirror in every gaze
Your flickering silhouette
The moment connected to me watching me
Knock-knock, open up the door
Continuously searching for the lost game
Gradually falling into it
It's so bittersweet but I like the chase
Got a devil on my shoulder
Whispering voice softly
Like an angel approaching you
Starting again
Knock-knock, who's there?
I'm with you
Feeling each other
Leaving traces (close)
Chasing and being chased all night (run away)
In a moment of carelessness
When I shoot out, I'm fallin'
Bi-bi-di, bo-bi-di, boo, ayy, oh
I swear to ya
Going deeper, can't sleep at night
Feeling sluggish, ayy, oh
This spell got, got me trippin' and I like it
Close your eyes, shine and shiver
Your unpredictable timing
The moment I realized already watching me (hey, ayy)
Knock-knock, open up the door
Continuously searching for the lost game
Gradually falling into it
It's so bittersweet, but I like the chase (it's so bittersweet)
Got a devil on my shoulder (right here)
Whispering voice softly (listen to you)
Like an angel, approaching you
Starting again
Knock-knock, who's there?
W-wow
The moment the door opens, another door
N-now
I'm more confused about your heart
My heart
The more you come in, you want it more
Knock-knock (yeah)
Knock-knock, open up the door
Our game that we can't escape from (eh-eh)
Deeply luring
It's so bittersweet, but I like the chase (oh)
Got a devil on my shoulder
Sweetly smiling voice (oh)
Going round and round all night
You're trapped in my dream
Knock-knock, who's there?
Oh-oh-oh, oh
Oh-oh-oh, oh (knock-knock)
Oh-oh-oh, oh, oh-oh-oh (ah)
Oh-oh-oh, oh
Oh-oh-oh, oh (devil? Angel?)
Knock-knock, who's there?"
Chill Kill - The 3rd Album,2023,Underwater,"Yeah, all I need for you's to stay
And forever, you will sway
They can’t love you like I love you
Quickly disappear, all those waves
Without leaving any trace
Or becoming something that never existed from the start
Very deep underwater
Now you can open your eyes
Completely wrapped around you
Only you are allowed here
I remember the sensations
That are surrounding me now
So you can take your time
Oh, unfamiliar warmth trembling
It's all you, you-ooh
The emotions that wake you up
All of them true
I can't wait, babe
What’s it gonna be?
What's it gonna be, babe?
You should show me
You're deeply locked in me
Filling my heart completely, babe, overflowing
You can entrust yourself to be led by gravity
You make me want you more (oh)
Quietly flowing in, seamlessly
Being able to breathe inside me, oh
Who can love you like I love you?
This warm and distant sweet dream
Come here, babe
It will never dry up, oh
Dark underwater
What kind of me are you curious about?
Anywhere, freely
You can swim more
Without any boundaries
Like dancing, like that
So you can take your time
Oh, in eternity
A view that seems to have stopped, view (it is all you)
The emotions that I wake up
All of them true
I can't wait, babe
What's it gonna be?
What's it gonna be, babe?
You should show me (show me, yeah)
You're deeply locked in me
Filling my heart completely, babe, overflowing (oh, overflowing)
You can entrust yourself to be led by gravity
You make me want you more (you keep wanting me)
Quietly flowing in, seamlessly
Being able to breathe inside me, oh
Way up and down (up and down)
Go round and round (round and round)
You have no intention of leaving
Stay around again (stay around)
I want you, no one else
Just come lay your body on me
You can't wait, babe
What's it gonna be? (What's it gonna be?)
What’s it gonna be, babe?
You should show me (you should show me)
In a moment
Deep in me (in a moment, babe)
Filling my heart completely, babe, full
You can entrust everything to me when you reach the limit (oh)
You endlessly want me (you endlessly want me)
Digging into your heart, seamlessly
You make me breathe, oh"
